iter	Passed	Remaining
0	640589	127477347
1	1287573	127469782
2	1938951	127324497
3	2604462	127618676
4	3259437	127118074
5	3903026	126197863
6	4546348	125349314
7	5180886	124341269
8	5840272	123943565
9	6482273	123163190
10	7133257	122562328
11	7803589	122256239
12	8463232	121740346
